Longitude,Latitude
-132.8202,55.2035
-141.5667,62.9375
-149.7853,61.0595
-141.3165,62.77335
-147.8142,64.89139
-87.00665,34.6802
-87.35664,33.21145
-87.31821,33.26035
-86.64066,33.3674
-85.705,32.43
-85.625,33.35
-86.5,33.59
-86.581,32.184
-86.6575,34.71139
-87.53395,33.8957
-87.77686,34.70112
-88.12475,33.41574
-88.26291,31.25385
-85.48985,33.82162
-86.5045,34.32279
-86.56954,34.47091
-86.88621,34.29511
-86.37698,32.48322
-86.98473,33.55153
-87.6942,33.37095
-86.96416,34.00806
-85.22781,34.14117
-85.21574,31.23374
-85.7944,31.53475
-88.31126,31.24305
-85.41961,33.64341
-92.03389,33.82111
-94.23417,36.20611
-93.13361,35.27833
-92.40778,34.53167
-91.27056,33.7985
-92.61493,33.14663
-92.64066,33.26462
-93.162,34.285
-94.3745,34.369
-92.63179,36.29871
-92.75093,34.73147
-91.22115,33.26855
-93.98622,33.33171
-92.52505,36.14065
-91.52025,36.33205
-92.3575,34.86535
-92.30614,36.38605
-91.46231,35.703
-91.60007,35.34737
-92.27071,36.37399
-91.50301,35.255
-94.1125,34.4125
-92.25454,34.85324
-90.1355,35.738
-93.1545,36.042
-109.4276,36.09081
-109.64,34.325
-109.675,32.815
-109.44,34.6
-110.4298,33.99989
-112.6432,33.3785
-111.1367,34.28939
-110.165,34.1
-110,34
-110.11,34.285
-109.25,35.175
-122.2703,41.21361
-120.0133,38.85556
-121.0161,39.26361
-120.5836,38.72139
-119.2119,37.23389
-120.3275,39.31917
-120.2434,38.0312
-120.6033,38.90333
-122.278,40.7974
-119.5483,38.3068
-123.2718,40.7485
-120.2201,38.86165
-118.9166,37.58325
-124.0687,41.21385
-123.1668,41.8333
-123.2393,39.83929
-123.3899,39.51489
-118.375,36.70835
-123.0585,38.83996
-123.1749,41.98645
-120.2083,38.79998
-123.4498,41.65925
-121,38.25
-122.575,41.845
-119.6234,38.51665
-117.3395,34.28665
-118.9604,36.77763
-123.7879,41.89288
-121.8214,40.64289
-108.2083,37.4625
-107.0671,39.3375
-104.9917,38.9006
-106.8583,37.025
-106.4417,39.0917
-106.625,39.45824
-108.3364,37.33925
-104.9426,38.5859
-105.7854,39.39565
-106.5445,39.1006
-105.6385,40.84707
-106.496,37.37285
-106.199,38.83714
-107.7015,37.70338
-105.475,39.40589
-107.0596,39.37357
-106.3023,39.80777
-105.2527,39.35503
-105.4147,39.52701
-106.1444,39.41087
-73.36136,41.49472
-72.85863,41.42178
-72.60558,41.38622
-71.90106,41.59272
-84.20835,30.4836
-85.76891,30.7599
-80.8044,27.3973
-85.6316,30.4664
-81.9055,29.07655
-84.583,30.587
-81.33,25.927
-81.35876,27.37341
-81.771,30.069
-80.926,25.141
-82.44749,28.252
-81.22285,26.0079
-82.879,30.3125
-81.82794,30.05287
-82.3722,29.1039
-81.88324,30.10139
-81.90216,30.03432
-81.90477,28.78028
-81.89565,30.10386
-81.94118,30.11584
-81.80878,29.43465
-81.7268,29.3143
-81.89905,30.10851
-81.48598,25.95574
-82.76431,28.19899
-82.24487,28.14617
-81.95577,28.44926
-81.85762,30.08748
-81.95577,28.44926
-81.97483,28.50566
-81.91354,29.94011
-86.7513,30.6966
-80.84301,28.93312
-82.40295,28.78812
-81.86789,29.36953
-80.84716,28.48899
-81.2299,29.83863
-85.20786,30.71362
-81.52609,29.28971
-80.55011,27.78042
-82.01917,29.16722
-81.4819,29.05872
-81.71583,26.85451
-81.74579,29.49577
-80.58182,25.76119
-81.59869,28.99496
-81.81697,26.67822
-82.0443,30.71004
-84.91096,30.54079
-82.82335,29.42016
-82.43094,27.66726
-81.85223,29.97917
-82.0435,29.1795
-82.3948,28.14162
-81.98468,27.19995
-83.1736,30.37369
-81.64167,29.00086
-83.00198,29.23723
-82.22301,27.35273
-81.23721,28.42146
-81.69337,29.27043
-86.63961,30.71482
-86.4945,30.6098
-82.39019,27.00061
-80.10344,27.01091
-83.412,30.67
-82.24886,32.38575
-83.69085,34.68319
-84.7681,33.48295
-84.78979,33.80785
-84.97515,33.81029
-84.73846,34.1318
-84.5136,34.48287
-84.383,34.39965
-83.26071,31.17384
-84.58501,34.8155
-84.48006,34.31955
-84.5317,33.49565
-84.73555,33.2706
-82.6386,30.83105
-81.64665,31.46641
-84.72352,34.8243
-83.66153,31.18562
-81.61756,31.9853
-85.18678,34.17521
-83.08486,31.35289
-84.83903,34.03528
-85.16238,34.05198
